Component ID,Component Name,Component Label,Manufacturer or Distributor,Component Type,Measurement or Functionality,Link,Status,Number in Stock
APDS-9960,RGB.Gesture,Gest RGB,SparkFun,Sensor,"RGB, Distance, Gesture, Ambient Light",https://www.sparkfun.com/products/12787,Prime,2
SEN-12780,ZX Distance and Gesture Sensor,,SparkFun,Sensor,"Distance, Gesture",https://www.sparkfun.com/products/12780,Legacy,6
VL-6180,Time of Flight Sensor,,SparkFun,Sensor,"Distance, Ambient Light",https://www.sparkfun.com/products/12784,Prime,2
PRT-11231,SparkFun Power Cell – LiPo Charger/Booster ,,SparkFun,Charger,Charging LiPo Batteries,https://www.sparkfun.com/products/11231,Legacy,1
ADA-1501,Trinket 5V,,Adafruit,Microcontroller,Control circuits,https://www.adafruit.com/products/1501,Inspection,1
ADA-2756,Teensy 3.2 3.3V,Teensy 3p2,Adafruit,Microcontroller,Control circuits,https://www.adafruit.com/product/2756,Inspection,4
ADA-175,Music and Sound Add-On pack fo Arduino,,Adafruit,Development Kit,Audio,https://www.adafruit.com/products/175,Inspection,2
ADA-2162,Universal Qi Wireless Transmitter,,Adafruit,Charger,Wireless Charging,https://www.adafruit.com/product/2162,Inspection,4
ADA-1901,Universal Qi Wireless Receiver,,Adafruit,Charger,Wireless Charging,https://www.adafruit.com/products/1901,Inspection,4
ADA-1171,Perma-Proto Rasperry Pi ,PCB Breadboard,Adafruit,Breadboard,PCV,https://www.adafruit.com/products/1171,Prime,4
ADA-356,Breadboard Trim Potentiometer,,Adafruit,Potentiometer,Volatage Modulation,https://www.adafruit.com/products/356,Inspection,4
ADA-248,AA Battery Holder with 5.5mm/2.1mm Plug,,Adafruit,Battery Pack,Battery Holder,https://www.adafruit.com/products/248,Inspection,4
ADA-1063,Electret Microphone Amplifier ,Electret Mic,Adafruit,Microphone,,https://www.adafruit.com/products/1063,Inspection,6
B375-120XL,Belts,,ServoCity,Belt,,https://www.servocity.com/html/0_375__wide_timing_belts.html,Inspection,2
ADA-987,Class D Amp,,Adafruit,Amplifier,Signal Amplification,https://www.adafruit.com/products/987,Inspection,3
,15 Male Headers,,Amazon,Header,,http://www.amazon.com/Single-Header-Arduino-Prototype-Shield/dp/B00FR19WQA,Prime,3
